physician_id,physician_efficiency,metro_area,physician_working_specialty,physician_gender,physician_credential,physician_med_school,physician_graduation_year,bump_feature,engineered_feature_1,engineered_feature_2,engineered_feature_3,medicare_engineered_1,medicare_engineered_2,medicare_engineered_3,medicare_enginerred_4,medicare_engineered_5,medicare_engineered_6,num_medicare_patients,medicare_patient_hcc_risk_score
8944,0.19,Chicago,Psychiatry,M,UNKNOWN,OTHER,1971,40,1.63,1.63,7.2,2.333,2,2,0,2,3,446,1.359
9404,0.19,Chicago,Oncology,F,MD,OTHER,1980,41,0.626,0.964,9.3,2.75,3,4,1,4,2,182,1.813
4960,0.2,Chicago,Internal Medicine,F,MD,CHICAGO COLLEGE OF MEDICINE AND SURGERY,1980,47,0.531,0.77,14.2,2.25,2,1,1,4,3,303,1.897
5187,0.2,Chicago,Rheumatology,M,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1988,48,1.306,1.119,7.5,2,2,2,0,3,1,34,1.014
2779,0.2,Dallas,Psychiatry,F,MD,TEXAS A & M UNIVERSITY COLLEGE OF MEDICINE,1990,43,0.894,1.106,15.3,2,2,2,0,2,2,33,0.984
4501,0.2,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF TEXAS MEDICAL SCHOOL AT HOUSTON,1991,45,0.818,0.818,6.5,3.75,4,5,4,3,3,700,3.104
8620,0.2,Chicago,Hospital Based Physician,M,MD,OTHER,1996,50,0.901,0.715,3.8,4.333,4,4,0,5,4,935,3.795
3721,0.2,Dallas,Nephrology,F,MD,OTHER,1999,44,0.83,0.869,7.9,3.25,3,1,3,4,5,486,5.099
8309,0.2,Chicago,Clinical Psychology,M,CP,OTHER,2000,49,0.869,0.869,2.1,3.5,4,2,0,0,5,256,2.097
4773,0.2,Chicago,Nephrology,F,UNKNOWN,OTHER,2007,46,0.183,1.13,4.4,2.5,3,2,3,3,2,541,4.896
3241,0.22,Dallas,General Surgery,M,UNKNOWN,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,1968,54,0.938,1.035,8.8,1.667,2,1,0,1,3,93,1.833
4763,0.22,Chicago,Psychiatry,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1973,56,0.248,1.181,6.3,1,1,1,0,1,1,38,0.932
1817,0.22,Dallas,Orthopedic Surgery,M,MD,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,1988,53,1.145,0.963,2.9,3.25,3,5,5,1,2,274,0.878
4437,0.22,Dallas,Nephrology,M,UNKNOWN,OTHER,1998,55,1.406,1.406,11.9,3,3,2,2,5,3,556,4.349
5892,0.23,Dallas,Nephrology,M,UNKNOWN,OTHER,1973,64,1.083,1.088,2.5,2.5,3,1,5,3,1,151,3.75
6252,0.23,Chicago,Ophthal - Retinal,M,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1974,65,0.655,0.694,13.9,2.75,3,1,3,5,2,659,0.972
6675,0.23,Chicago,Psychiatry,F,UNKNOWN,OTHER,1976,66,0.342,1.179,15.3,3.667,4,1,0,5,5,66,1.155
3196,0.23,Dallas,Internal Medicine,F,MD,ILLINOIS MEDICAL COLLEGE,1984,61,1.444,1.214,15.8,2,2,1,1,4,2,106,3.805
4498,0.23,Chicago,Nephrology,F,UNKNOWN,OTHER,1993,62,1.34,1.335,9.9,2,2,1,1,3,3,967,3.432
2870,0.23,Chicago,Nephrology,F,UNKNOWN,OTHER,2005,60,0.21,0.485,11.4,1,1,1,1,1,1,502,3.849
4633,0.23,Chicago,Nephrology,M,MD,OTHER,2005,63,1.121,1.134,8,2.5,3,5,1,2,2,764,2.603
1978,0.23,Dallas,Nephrology,M,UNKNOWN,OTHER,2014,59,0.902,0.902,13.4,2.667,3,4,0,1,3,434,3.053
5004,0.24,Chicago,Emergency Medicine,M,UNKNOWN,CHICAGO COLLEGE OF OSTEOPATHIC MEDICINE,2003,67,0.284,0.977,8.8,1.75,2,2,3,1,1,280,0.976
6653,0.24,Chicago,Clinical Psychology,M,UNKNOWN,OTHER,2013,69,0.247,0.917,4.8,1.5,2,1,0,0,2,39,1.731
9183,0.25,Chicago,Emergency Medicine,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1977,75,0.287,0.986,2.5,2,2,2,2,1,3,201,0.781
8195,0.25,Chicago,Psychiatry,F,MD,OTHER,1985,73,0.36,1.181,8,3.667,4,3,0,3,5,220,1.41
9849,0.25,Chicago,Psychiatry,F,MD,OTHER,1991,76,1.197,1.197,14.2,2.333,2,1,0,5,1,18,0.883
8270,0.25,Dallas,Sports Medicine,M,UNKNOWN,OTHER,2012,74,0.621,1.125,9.4,1,1,0,0,1,0,0,0
380,0.25,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,2014,70,0.518,1.055,1.3,3,3,1,0,0,5,108,2.948
2592,0.25,Chicago,Nephrology,M,UNKNOWN,OTHER,2015,71,0.924,0.924,6.4,3.75,4,4,5,1,5,495,3.609
4898,0.25,Chicago,Emergency Medicine,U,UNKNOWN,UNKNOWN,,72,0.278,0.393,11.9,2,2,2,1,3,2,191,1.002
7693,0.26,Chicago,Hospital Based Physician,M,UNKNOWN,OTHER,2006,78,0.6,0.681,7.3,3.333,3,2,0,5,3,293,2.083
4033,0.27,Chicago,Pediatric Nephrology,M,UNKNOWN,CHICAGO COLLEGE OF MEDICINE AND SURGERY,1975,80,0.567,0.966,14.3,2.333,2,2,0,4,1,64,1.829
8435,0.27,Chicago,Ophthal - Retinal,M,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1977,82,1.209,2.509,6.7,2.25,2,2,1,3,3,984,1.198
1735,0.27,Chicago,Psychiatry,F,UNKNOWN,OTHER,1995,79,0.991,1.015,2.5,3.75,4,4,4,4,3,355,1.273
4271,0.27,Chicago,Psychiatry,U,UNKNOWN,UNKNOWN,,81,0.791,0.791,13.7,3,3,2,0,5,2,136,1.019
7289,0.28,Chicago,Nephrology,F,UNKNOWN,UNIVERSITY OF PENNSYLVANIA SCHOOL OF MEDICINE,1990,86,1.001,1.357,5.9,3,3,3,1,3,5,236,5.76
5775,0.28,Chicago,Emergency Medicine,F,DO,CHICAGO COLLEGE OF OSTEOPATHIC MEDICINE,1996,85,0.192,0.895,12.5,2.667,3,2,0,1,5,440,2.002
3126,0.28,Chicago,Ophthalmology,M,UNKNOWN,OTHER,,83,0.138,0.486,11.2,1.333,1,2,0,1,1,108,1.118
1008,0.29,Dallas,Psychiatry,M,UNKNOWN,OTHER,1986,88,0.761,0.978,11.5,4.333,4,5,0,3,5,792,1.271
6490,0.29,Chicago,Ophthal - Cataract,F,MD,UNIVERSITY OF CINCINNATI COLLEGE OF MEDICINE,1986,89,0.912,0.907,6.3,2.75,3,1,4,4,2,1335,1.24
6790,0.29,Chicago,Psychiatry,M,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1988,90,0.342,1.196,4.2,3,3,1,0,4,4,181,1.165
50,0.29,Chicago,Nephrology,M,DO,MICHIGAN STATE UNIVERSITY COLLEGE OF OSTEOPATHIC MEDICINE,1989,87,0.427,1.123,0.7,3.75,4,3,4,5,3,459,2.954
8504,0.29,Chicago,Radiology,F,UNKNOWN,OTHER,1991,93,0.389,0.389,1.2,4,4,0,4,0,4,3281,1.792
7404,0.29,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF PUERTO RICO SCHOOL OF MEDICINE,1992,91,0.851,1.214,14,3.5,4,1,4,4,5,425,5.244
3480,0.3,Chicago,Oncology,M,MD,OTHER,1976,100,1.439,1.119,5.6,1.333,1,1,0,2,1,72,1.707
2415,0.3,Chicago,Emergency Medicine,M,MD,UNIVERSITY OF WISCONSIN MEDICAL SCHOOL,1982,96,0.672,1.018,7.2,2.25,2,1,4,3,1,197,2.238
5287,0.3,Chicago,Ophthal - Retinal,M,DO,"UNIVERSITY OF CHICAGO, PRITZKER SCHOOL OF MEDICINE",1988,104,1.126,1.126,0.7,3.25,3,2,3,4,4,1409,1.161
3179,0.3,Dallas,Hospital Based Physician,F,UNKNOWN,UNIVERSITY OF TENNESSEE COLLEGE OF MEDICINE,1991,99,1.1,1.284,7.3,2.75,3,3,3,4,1,1016,1.325
4774,0.3,Chicago,Psychiatry,F,MD,OTHER,1991,102,0.33,1.179,9.9,4,4,3,0,5,4,384,1.566
3008,0.3,Dallas,Cardiovascular - Non-interventional,M,UNKNOWN,OTHER,1996,97,1.173,1.213,4.3,2.75,3,1,1,5,4,257,3.272
281,0.3,Chicago,Emergency Medicine,F,MD,OTHER,1999,94,0.278,0.903,1,3.5,4,4,5,2,3,877,1.07
4001,0.3,Chicago,Emergency Medicine,M,MD,NORTHWESTERN UNIVERSITY MEDICAL SCHOOL,2006,101,0.287,0.898,6.9,1,1,1,0,0,1,158,1.951
5156,0.3,Chicago,General Surgery,M,UNKNOWN,UNIVERSITY OF PENNSYLVANIA SCHOOL OF MEDICINE,2011,103,1.209,1.154,11.8,5,5,5,0,0,5,132,5.643
1794,0.3,Chicago,Anesthesiology,U,UNKNOWN,UNKNOWN,,95,0.597,0.597,5,3,3,0,5,0,1,156,0.766
6165,0.31,Dallas,Psychiatry,F,UNKNOWN,UNIVERSITY OF OKLAHOMA COLLEGE OF MEDICINE,1976,110,0.522,0.522,4.6,3,3,2,0,5,2,181,1.251
2627,0.31,Dallas,Nephrology,M,UNKNOWN,OTHER,1989,109,3.219,3.219,1.5,3.25,3,1,4,5,3,254,4.943
905,0.31,Chicago,Pain Management,F,MD,"UNIVERSITY OF CHICAGO, PRITZKER SCHOOL OF MEDICINE",2006,108,0.907,0.761,13.9,1.5,2,0,1,0,2,110,1.447
7546,0.31,Chicago,Emergency Medicine,F,UNKNOWN,OTHER,2007,111,0.786,1,4.3,1.5,2,1,1,3,1,289,0.906
9402,0.31,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,2015,113,0.734,1.049,13.5,3,3,2,0,0,4,57,1.07
354,0.31,Chicago,Clinical Psychology,U,UNKNOWN,UNKNOWN,,107,0.622,0.964,4.9,2,2,1,0,0,3,38,2.14
7572,0.32,Dallas,Orthopedic Surgery,M,UNKNOWN,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL SCHOOL AT DALLAS,1970,118,1.139,1.036,10.2,1.75,2,3,1,2,1,207,1.124
1373,0.32,Chicago,Ophthal - Retinal,F,UNKNOWN,CHICAGO COLLEGE OF MEDICINE AND SURGERY,1976,114,1.049,1.049,4.6,2.5,3,3,4,1,2,500,1.464
9213,0.32,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,2000,121,0.425,0.997,7.3,3,3,1,0,0,5,191,1.606
4884,0.32,Chicago,Internal Medicine,F,MD,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,2002,117,1.049,0.783,5.6,3.5,4,3,5,3,3,714,2.18
7986,0.32,Chicago,Psychiatry,F,MD,OTHER,2003,119,0.768,0.768,2.5,1,1,1,0,0,1,12,1.383
3572,0.32,Chicago,Orthopedic Surgery,U,UNKNOWN,UNKNOWN,,115,0.631,0.892,5.9,2.25,2,2,4,1,2,257,1.055
6760,0.33,Dallas,Psychiatry,F,MD,OTHER,1983,128,0.995,1.119,5.1,2.667,3,2,0,2,4,555,1.504
3444,0.33,Chicago,Cardiovascular - Non-interventional,F,MD,OTHER,1986,124,0.893,0.966,13.9,2.5,3,3,1,2,4,1193,2.167
8260,0.33,Chicago,Emergency Medicine,M,MD,OTHER,1986,129,0.294,0.467,12.2,2,2,5,1,1,1,400,0.953
77,0.33,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF CINCINNATI COLLEGE OF MEDICINE,2009,122,0.687,0.687,7.1,1.75,2,1,1,4,1,486,3.758
4305,0.33,Chicago,Nephrology,M,UNKNOWN,OTHER,2010,126,0.668,0.668,2,2.5,3,5,2,2,1,178,3.339
3668,0.33,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,2018,125,0.516,1.055,5.2,2.5,3,1,0,0,4,53,2.201
5133,0.33,Chicago,Orthopedic Surgery,U,UNKNOWN,UNKNOWN,,127,0.755,0.869,4,1.75,2,4,1,1,1,125,0.888
9564,0.33,Chicago,Emergency Medicine,U,UNKNOWN,UNKNOWN,,130,1.102,0.964,6.4,1.667,2,1,0,3,1,42,1.099
6535,0.34,Chicago,Ophthal - Cataract,M,MD,OTHER,1972,136,0.702,0.702,6.7,1.75,2,3,2,1,1,970,1.173
8631,0.34,Dallas,Psychiatry,F,UNKNOWN,OTHER,1991,142,1.611,1.606,7.8,2.5,3,1,0,0,4,110,1.248
7643,0.34,Chicago,Nephrology,M,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,2003,140,0.539,1.149,9.2,4,4,5,3,3,5,901,3.03
9779,0.34,Chicago,Physical Medicine & Rehabilitation,F,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,2011,143,0.909,1.119,8,3,3,4,0,0,2,204,1.658
1178,0.34,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,2015,131,0.385,1.152,0.4,3,3,1,0,0,5,52,1.531
6652,0.34,Dallas,Urology,U,UNKNOWN,UNKNOWN,,137,0.84,0.861,2.7,3.25,3,2,1,5,5,123,1.356
7595,0.34,Chicago,Emergency Medicine,U,UNKNOWN,UNKNOWN,,139,0.845,1.057,12.5,1.667,2,1,0,3,1,242,1.189
7653,0.34,Chicago,Psychiatry,U,UNKNOWN,UNKNOWN,,141,0.427,0.427,4,1,1,1,0,1,1,52,1.17
6767,0.35,Chicago,Infectious Disease,F,UNKNOWN,OTHER,1976,148,1.003,1.003,15.2,2.333,2,2,0,3,2,142,3.98
7615,0.35,Chicago,Emergency Medicine,F,MD,UNIVERSITY OF HEALTH SCIENCES/CHICAGO MEDICAL SCHOOL,1979,149,1.087,1.134,14.9,2.333,2,2,0,3,2,94,0.831
3810,0.35,Dallas,Oncology,F,MD,OTHER,1980,146,1.208,1.088,9.4,4,4,4,2,5,5,319,1.796
7628,0.35,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1986,150,1.082,1.087,7.2,2.5,3,1,1,5,3,241,5.796
2838,0.35,Chicago,Nephrology,F,UNKNOWN,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1989,145,1.386,1.378,11.8,1.5,2,1,1,2,2,837,3.479
393,0.35,Chicago,Anesthesiology,F,MD,WAYNE STATE UNIVERSITY SCHOOL OF MEDICINE,1994,144,0.899,0.899,8.6,3.25,3,2,5,3,3,372,1.658
5184,0.36,Chicago,General Surgery,M,MD,OTHER,1974,156,1.148,1.055,14.4,2.667,3,1,0,5,2,119,1.738
6445,0.36,Chicago,Psychiatry,F,UNKNOWN,OTHER,1983,157,0.694,0.664,1.4,3,3,1,0,4,4,308,1.526
2586,0.36,Chicago,Hospital Based Physician,F,MD,OTHER,1984,152,0.704,0.745,11.3,3,3,2,1,4,5,202,4.185
4473,0.36,Chicago,Psychiatry,M,MD,OTHER,1986,155,0.6,0.588,10.1,2.667,3,1,0,5,2,50,1.331
8821,0.36,Chicago,Psychiatry,F,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1992,158,0.597,0.597,2.9,3,3,3,0,3,3,205,1.147
3929,0.36,Chicago,Ophthalmology,F,UNKNOWN,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1998,154,0.437,0.623,3.9,1.5,2,1,2,2,1,872,1.016
9663,0.36,Chicago,Physical Medicine & Rehabilitation,F,MD,NORTHWESTERN UNIVERSITY MEDICAL SCHOOL,1998,159,1.092,1.05,14.8,3.75,4,4,1,5,5,460,1.887
2090,0.37,Chicago,Pediatric Cardiology,F,MD,OTHER,1975,161,1.101,0.964,10.2,5,5,0,0,5,0,0,0
8881,0.37,Chicago,Neurological Surgery,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1975,170,1.17,1.17,14.6,4.333,4,5,0,5,3,102,1.578
8730,0.37,Chicago,Neurology,M,MD,OTHER,1987,169,0.933,0.933,0.8,2.5,3,3,3,1,3,361,1.857
8308,0.37,Dallas,Oncology,F,UNKNOWN,OTHER,1998,167,0.652,0.832,6.6,3.667,4,2,0,5,4,199,1.809
6959,0.37,Chicago,Emergency Medicine,M,DO,CHICAGO COLLEGE OF OSTEOPATHIC MEDICINE,2001,164,1.102,0.964,5.4,1.5,2,1,0,0,2,164,1.781
7705,0.37,Dallas,Cardiovascular - Non-interventional,F,UNKNOWN,TEXAS A & M UNIVERSITY COLLEGE OF MEDICINE,2001,165,0.993,1.132,8.3,2.333,2,2,0,3,2,110,2.422
23,0.37,Chicago,Hematology and Oncology,U,UNKNOWN,UNKNOWN,,160,0.823,0.808,6.8,2,2,1,1,5,1,195,2.006
3528,0.37,Chicago,Cardiovascular - Non-interventional,U,UNKNOWN,UNKNOWN,,162,0.875,0.693,15.5,1.25,1,2,1,1,1,2210,2.246
3852,0.37,Chicago,Emergency Medicine,U,UNKNOWN,UNKNOWN,,163,0.614,0.614,15.4,2.75,3,2,1,3,5,564,2.414
997,0.38,Chicago,Ophthalmology,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1980,172,0.681,0.681,5.6,1.25,1,1,2,1,1,664,0.894
7235,0.38,Chicago,Nephrology,M,UNKNOWN,OTHER,1982,176,1.002,1.161,1.9,2.5,3,4,2,3,1,767,3.477
5435,0.38,Dallas,Psychiatry,M,MD,UNIVERSITY OF MISSISSIPPI SCHOOL OF MEDICINE,1983,174,0.873,1.109,12.6,1.333,1,1,0,1,2,210,1.798
9095,0.38,Chicago,Clinical Psychology,F,UNKNOWN,OTHER,1994,177,0.385,0.982,15.7,2.5,3,1,0,0,4,55,1.046
1022,0.38,Dallas,Cardiovascular - Non-interventional,F,UNKNOWN,VANDERBILT UNIVERSITY SCHOOL OF MEDICINE,1999,173,1.168,1.213,9,2.667,3,3,0,2,3,164,1.203
5491,0.38,Dallas,Physical Medicine & Rehabilitation,F,MD,OTHER,2000,175,0.994,1.047,13.2,3.25,3,5,5,1,2,92,1.191
819,0.38,Chicago,Pulmonary Diseases,F,UNKNOWN,NORTHEASTERN OHIO UNIVERSITIES COLLEGE OF MEDICINE,2003,171,0.968,1.154,3.5,4.667,5,5,0,4,5,392,3.46
5761,0.39,Chicago,Neurology,M,MD,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",1985,184,1.174,1.017,6.9,2,2,1,1,2,4,253,1.759
8326,0.39,Dallas,Psychiatry,F,MD,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,1993,189,1.314,1.087,5.4,2.333,2,2,0,3,2,104,2.807
4024,0.39,Chicago,Anesthesiology,F,UNKNOWN,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,1995,181,0.792,0.792,9.5,3,3,0,3,0,3,225,1.888
1483,0.39,Chicago,Ortho - Total Knee/Hip,M,MD,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,1996,179,1.026,1.346,3.6,3.5,4,4,4,5,1,868,0.995
1397,0.39,Chicago,Nephrology,F,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1997,178,1.356,1.35,5.6,3,3,3,2,2,5,747,3.825
6437,0.39,Chicago,Anesthesiology,M,UNKNOWN,OTHER,1997,185,0.848,0.848,16.2,3,3,2,4,0,3,309,1.487
4861,0.39,Chicago,Pain Management,M,MD,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,2000,182,0.89,0.759,2.9,2,2,0,3,0,1,168,1.241
8072,0.39,Dallas,Nephrology,M,MD,OTHER,2001,187,0.974,0.973,0.9,2.75,3,1,5,4,1,755,6.044
9976,0.39,Chicago,Nephrology,M,MD,UNIVERSITY OF NEBRASKA COLLEGE OF MEDICINE,2001,190,1.166,1.178,5.8,2.5,3,5,1,2,2,586,2.572
3418,0.39,Chicago,Dermatology,U,UNKNOWN,UNKNOWN,,180,0.855,0.769,7.3,1,1,1,1,1,1,74,0.994
2713,0.4,Chicago,Cardiovascular - Interventional,M,UNKNOWN,OTHER,1964,194,1.03,0.965,7.1,3,3,1,1,5,5,999,1.867
2759,0.4,Dallas,Ophthal - Cataract,F,UNKNOWN,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,1986,195,1.284,1.176,11.3,3.5,4,5,4,1,4,858,1.056
67,0.4,Chicago,Pain Management,M,MD,OTHER,1989,191,1.674,1.677,0.3,4,4,0,3,0,5,577,1.358
3046,0.4,Chicago,Anesthesiology,M,MD,INDIANA UNIVERSITY SCHOOL OF MEDICINE,1992,197,0.889,0.898,9.8,3,3,0,3,0,3,348,1.296
6774,0.4,Chicago,Anesthesiology,M,MD,RUSH MEDICAL COLLEGE OF RUSH UNIVERSITY,1993,200,0.838,0.838,4.9,4,4,0,4,0,4,280,1.559
9269,0.4,Chicago,Anesthesiology,M,UNKNOWN,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,1997,203,0.851,0.851,13.9,3.333,3,2,4,0,4,335,1.514
9237,0.4,Chicago,Dermatopathology,M,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,2009,202,1.048,1.257,11.4,2.75,3,1,5,1,4,143,1.174
1963,0.4,Chicago,Radiology,U,UNKNOWN,UNKNOWN,,193,0.35,0.35,9.4,4,4,0,4,0,4,4121,1.812
1283,0.41,Chicago,Clinical Psychology,F,CP,OTHER,1995,205,0.328,1.252,4.7,1.667,2,2,1,0,2,316,1.394
9842,0.41,Dallas,Nephrology,F,MD,OTHER,2005,213,0.864,0.864,14.5,3,3,4,3,1,4,314,4.547
3763,0.41,Chicago,Psychiatry,M,MD,UNIVERSITY OF HEALTH SCIENCES/CHICAGO MEDICAL SCHOOL,2008,207,1.082,1.076,13.8,3.333,3,4,0,3,3,154,1.512
6010,0.41,Chicago,Nephrology,M,UNKNOWN,OTHER,2013,210,0.092,0.546,6.8,2.667,3,2,0,3,3,173,3.252
61,0.41,Chicago,Ophthal - Cataract,U,UNKNOWN,UNKNOWN,,204,0.785,0.888,9.1,1.25,1,1,1,2,1,1888,0.998
9742,0.41,Chicago,Ophthalmology,U,UNKNOWN,UNKNOWN,,212,0.907,0.936,12.2,1.5,2,1,1,2,2,230,1.195
5516,0.42,Chicago,Neurological Surgery,M,MD,OTHER,1977,219,1.113,1.12,13.5,2,2,1,0,4,1,156,1.056
2931,0.42,Dallas,Oncology,F,UNKNOWN,OTHER,1978,216,1.067,1.144,8.8,1.5,2,1,1,3,1,217,2.095
453,0.42,Chicago,General Surgery,M,UNKNOWN,CHICAGO COLLEGE OF MEDICINE AND SURGERY,1982,214,1.162,1.172,7.6,2.75,3,2,4,3,2,100,1.637
4447,0.42,Dallas,Cardiovascular - Non-interventional,M,UNKNOWN,BOSTON UNIVERSITY SCHOOL OF MEDICINE,1982,218,1.017,1.141,13.9,2,2,3,3,1,1,867,1.051
9973,0.42,Chicago,Cardiovascular - Non-interventional,M,MD,OTHER,1988,227,1.168,1.22,8.8,3,3,3,1,3,5,2046,1.977
8269,0.42,Chicago,Psychiatry,F,UNKNOWN,UNIVERSITY OF ILLINOIS AT CHICAGO HEALTH SCIENCE CENTER,1997,226,0.411,0.738,14,2.333,2,1,0,3,3,105,1.183
6811,0.42,Dallas,Psychiatry,F,UNKNOWN,BAYLOR COLLEGE OF MEDICINE,1998,222,0.686,0.686,6.2,2,2,2,0,2,2,62,1.151
6575,0.42,Chicago,Anesthesiology,M,UNKNOWN,NORTHWESTERN UNIVERSITY MEDICAL SCHOOL,2002,220,1.067,1.154,3.8,3,3,0,5,0,1,22,0.925
